Neighbourhood,Thefts,BikeRacks
Agincourt North,1,1
Agincourt South-Malvern West,5,0
Alderwood,8,0
Annex,120,7
Banbury-Don Mills,5,0
Bathurst Manor,12,0
Bay Street Corridor,120,0
Bayview Village,45,0
Bayview Woods-Steeles,3,0
Bedford Park-Nortown,8,0
Bendale,1,0
Birchcliffe-Cliffside,14,0
Black Creek,3,0
Blake-Jones,19,0
Briar Hill-Belgravia,13,0
Bridle Path-Sunnybrook-York Mills,10,0
Broadview North,35,3
Brookhaven-Amesbury,1,0
Cabbagetown,47,1
Caledonia-Fairbank,4,0
Casa Loma,25,0
Centennial Scarborough,3,0
Church-Yonge Corridor,120,0
Clairlea-Birchmount,4,0
Clanton Park,11,0
Cliffcrest,5,0
Corso Italia-Davenport,15,0
Danforth,41,0
Danforth East York,21,0
Don Valley Village,6,0
Dorset Park,3,1
Dovercourt-Wallace Emerson-Junction,82,0
Downsview-Roding-CFB,15,0
Dufferin Grove,36,0
East End-Danforth,49,0
Edenbridge-Humber Valley,4,0
Eglinton East,10,0
Elms-Old Rexdale,2,0
Englemount-Lawrence,32,0
Eringate-Centennial-West Deane,4,0
Etobicoke West Mall,2,0
Flemingdon Park,4,0
Forest Hill North,24,1
Forest Hill South,23,0
Glenfield-Jane Heights,14,0
Greenwood-Coxwell,56,0
Guildwood,4,0
Henry Farm,12,0
High Park,76,7
Humber Bay Shores,42,4
Humber Heights-Westmount,1,0
Humber Summit,1,0
Humbermede,4,0
Humewood-Cedarvale,28,1
Ionview,4,0
Islington-City Centre West,30,0
Junction Area,21,0
Keelesdale-Eglinton West,5,0
Kennedy Park,4,0
Kensington-Chinatown,100,0
Kingsview Village-The Westway,5,0
Kingsway South,12,0
Lambton Baby Point,11,0
LAmoreaux,6,0
Lansing-Westgate,8,0
Lawrence Park,50,4
Leaside-Bennington,47,0
Little Portugal,74,15
Long Branch,7,0
Malvern,7,0
Maple Leaf,2,0
Markland Wood,1,0
Milliken,1,0
Moss Park,107,0
Mount Dennis,1,0
Mount Olive-Silverstone-Jamestown,10,0
Mount Pleasant East,34,0
Mount Pleasant West,120,0
New Toronto,16,0
Newtonbrook East,1,0
Newtonbrook West,22,0
Niagara,120,0
North Riverdale,36,0
North St.James Town,41,0
Oakridge,6,0
Oakwood Village,13,0
OConnor-Parkview,6,0
Old East York,8,0
Palmerston-Little Italy,63,0
Parkwoods-Donalda,4,0
Pelmo Park-Humberlea,5,0
Playter Estates-Danforth,32,0
Pleasant View,6,0
Princess-Rosethorn,2,0
Regent Park,29,0
Rexdale-Kipling,1,0
Rockcliffe-Smythe,1,0
Roncesvalles,47,0
Rosedale,71,4
Rouge,7,0
Runnymede-Bloor West Village,7,0
Rustic,5,0
Scarborough Village,9,0
South Parkdale,48,0
South Riverdale,109,0
St.Andrew-Windfields,16,0
Stonegate-Queensway,11,0
Tam OShanter-Sullivan,13,0
Taylor-Massey,17,0
The Beaches,47,1
Thorncliffe Park,15,2
Trinity-Bellwoods,80,0
University,68,0
Victoria Village,1,0
Waterfront Communities-The Island,120,0
West Hill,11,0
West Humber-Clairville,4,0
Westminster-Branson,14,0
Weston,10,0
Weston-Pellam Park,6,0
Wexford/Maryvale,12,0
Willowdale East,74,0
Willowdale West,14,0
Willowridge-Martingrove-Richview,1,0
Woburn,3,0
Woodbine Heights,30,2
Woodbine-Lumsden,7,0
Wychwood,20,0
Yonge-Eglinton,39,0
Yonge-St.Clair,24,0
York University Heights,39,0
Yorkdale-Glen Park,32,0
Yonge-St.Clair,,32
York University Heights,,32
Yorkdale-Glen Park,,32
